code,name
ALB,Albania
AND,Andorra
XAO,Arctic Ocean
XAS,At sea
AUT,Austria
XBS,Baltic Sea islands
XBB,Bay of Biscay islands
BLR,Belarus
BEL,Belgium
XBC,Black and Caspian Sea islands
BIH,Bosnia and Herzegovina
BGR,Bulgaria
XCA,Canary Islands
XCH,Channel Islands
HRV,Croatia
CYP,Cyprus
CZE,Czechia
DNK,Denmark
XEI,English Channel/Irish Sea islands
EST,Estonia
FRO,Faroe Islands
FIN,Finland
FRA,France
DEU,Germany
GIB,Gibraltar
GRC,Greece
GGY,Guernsey
HUN,Hungary
ISL,Iceland
IRL,Ireland
IMN,Isle of Man
ITA,Italy
JEY,Jersey
LVA,Latvia
LIE,Liechtenstein
LTU,Lithuania
LUX,Luxembourg
MLT,Malta
XMS,Mediterranean Sea islands
MDA,Moldova
MCO,Monaco
MNE,Montenegro
NLD,Netherlands
MKD,North Macedonia
XNS,North Sea islands
NOR,Norway
POL,Poland
PRT,Portugal
ROU,Romania
RUS,Russia
SMR,San Marino
SRB,Serbia
SVK,Slovakia
SVN,Slovenia
ESP,Spain
SJM,Svalbard and Jan Mayen
SWE,Sweden
CHE,Switzerland
TUR,Turkey
UKR,Ukraine
GBR,United Kingdom
VAT,Vatican City
ALA,Åland Islands
