place_code,country_code,active,latin_name
+A00,XAO,true,Arctic Ocean
+AJM,SJM,true,Svalbard and Jan Mayen
+ASV,SJM,true,Svalbard and Jan Mayen
+B00,XNS,true,North Sea islands
+C00,XEI,true,English Channel/Irish Sea islands
+D00,XBB,true,Bay of Biscay islands
+E00,XBS,true,Baltic Sea islands
+F00,XMS,true,Mediterranean Sea islands
+G00,XBC,true,Black and Caspian Sea islands
+HCN,XCA,false,Canary Islands
-B00,XAS,true,North Sea
-C00,XAS,true,English Channel and Irish Sea
-D00,XAS,true,Bay of Biscay
-E00,XAS,true,Baltic Sea
-F00,XAS,true,Mediterranean Sea
-G00,XAS,true,Black and Caspian Seas
-H00,XAS,true,North Atlantic Ocean (other parts)
-I00,XAS,true,Other Oceans
-J00,XAS,true,Indian Ocean
AB00,ALB,true,Albania
AM00,LIE,true,Liechtenstein
AU--,AUT,true,Austria
AU00,AUT,true,Burgenland
AU01,AUT,true,K?rnten
AU02,AUT,true,Nieder?sterreich
AU03,AUT,true,Ober?sterreich
AU04,AUT,true,Salzburg
AU05,AUT,true,Steiermark
AU06,AUT,true,Tirol
AU07,AUT,true,Vorarlberg
AU08,AUT,true,Wien
BG--,BGR,true,Bulgaria
BG01,BGR,true,Blagoevgrad
BG02,BGR,true,Burgas
BG03,BGR,true,Varna
BG04,BGR,true,Veliko Turnovo
BG05,BGR,true,Vidin
BG06,BGR,true,Vratsa
BG07,BGR,true,Gabrovo
BG08,BGR,true,Dobrich
BG09,BGR,true,Kurdzhali
BG10,BGR,true,Kyustendil
BG11,BGR,true,Lovech
BG12,BGR,true,Montana
BG13,BGR,true,Pazardzhik
BG14,BGR,true,Pernik
BG15,BGR,true,Pleven
BG16,BGR,true,Plovdiv
BG17,BGR,true,Razgrad
BG18,BGR,true,Ruse
BG19,BGR,true,Silistra
BG20,BGR,true,Sliven
BG21,BGR,true,Smolyan
BG22,BGR,true,Sofia province
BG23,BGR,true,Sofia City
BG24,BGR,true,Stara Zagora
BG25,BGR,true,Turgovishte
BG26,BGR,true,Haskovo
BG27,BGR,true,Shumen
BG28,BGR,true,Yambol
BG70,BGR,false,Blagoevgrad
BG71,BGR,false,Khaskovo
BG72,BGR,false,Kolarovgrad (Shumen)
BG73,BGR,false,Pleven
BG74,BGR,false,Plovdiv
BG75,BGR,false,Ruse
BG76,BGR,false,Sofiya
BG77,BGR,false,Stara Zagora
BG78,BGR,false,Turnovo
BG79,BGR,false,Vratsa
BG80,BGR,false,Burgas
BG81,BGR,false,Stalin (Varna)
BH00,BIH,true,Bosnia and Herzegovina
BL--,BEL,true,Belgium
BL19,BEL,true,Bruxelles
BL20,BEL,true,Antwerpen
BL21,BEL,true,Brabant
BL22,BEL,true,Hainaut
BL23,BEL,true,Limburg
BL24,BEL,true,Li?ge
BL25,BEL,true,Luxembourg
BL26,BEL,true,Namur
BL27,BEL,true,Oost-Vlaanderen
BL28,BEL,true,West-Vlaanderen
BL29,BEL,true,Brabant wallon
BL30,BEL,true,Vlaams Brabant
BY--,BLR,true,Belarus
BY20,BLR,true,Brest O.
BY22,BLR,true,Gomel O.
BY23,BLR,true,Grodno O.
BY25,BLR,true,Minsk O.
