euring_code,scientific_name,language_code,common_name
00010,Struthio camelus,bg,Обикновен щраус
00010,Struthio camelus,cs,pštros dvouprstý
00010,Struthio camelus,da,Struds
00010,Struthio camelus,de,Strauß
00010,Struthio camelus,en,Common Ostrich
00010,Struthio camelus,es,Avestruz común
00010,Struthio camelus,et,jaanalind
00010,Struthio camelus,fi,strutsi
00010,Struthio camelus,fr,Autruche d’Afrique
00010,Struthio camelus,hr,noj
00010,Struthio camelus,hu,strucc
00010,Struthio camelus,is,Strútur
00010,Struthio camelus,it,Struzzo
00010,Struthio camelus,lt,strutis
00010,Struthio camelus,lv,Āfrikas strauss
00010,Struthio camelus,nl,Struisvogel
00010,Struthio camelus,no,slettestruts
00010,Struthio camelus,pl,struś czerwonoskóry
00010,Struthio camelus,pt,avestruz-comum
00010,Struthio camelus,ru,Африканский страус
00010,Struthio camelus,sk,pštros dvojprstý
00010,Struthio camelus,sl,noj
00010,Struthio camelus,sr,Noj
00010,Struthio camelus,sv,struts
00010,Struthio camelus,tr,Devekuşu
00010,Struthio camelus,uk,страус африканський
00020,Gavia stellata,be,Чырвонаваллёвы гагач
00020,Gavia stellata,bg,Червеногуш гмуркач
00020,Gavia stellata,cs,potáplice malá
00020,Gavia stellata,da,Rødstrubet Lom
00020,Gavia stellata,de,Sterntaucher
00020,Gavia stellata,el,Κηλιδοβούτι
00020,Gavia stellata,en,Red-throated Loon
00020,Gavia stellata,es,Colimbo chico
00020,Gavia stellata,et,punakurk-kaur
00020,Gavia stellata,fi,kaakkuri
00020,Gavia stellata,fr,Plongeon catmarin
00020,Gavia stellata,hr,crvenogrli plijenor
00020,Gavia stellata,hu,északi búvár
00020,Gavia stellata,is,Lómur
00020,Gavia stellata,it,Strolaga minore
00020,Gavia stellata,lt,rudakaklis naras
00020,Gavia stellata,lv,brūnkakla gārgale
00020,Gavia stellata,mk,мал морски нуркач
00020,Gavia stellata,nl,Roodkeelduiker
00020,Gavia stellata,no,smålom
00020,Gavia stellata,pl,nur rdzawoszyi
00020,Gavia stellata,pt,mobelha-pequena
00020,Gavia stellata,ro,Cufundar mic
00020,Gavia stellata,ru,Краснозобая гагара
00020,Gavia stellata,sk,potáplica malá
00020,Gavia stellata,sl,rdečegrli slapnik
00020,Gavia stellata,sr,Riđogrli morski gnjurac
00020,Gavia stellata,sv,smålom
00020,Gavia stellata,tr,Kızıl Gerdanlı Dalgıç
00020,Gavia stellata,uk,гагара червоношия
00030,Gavia arctica,be,Чорнаваллёвы гагач
00030,Gavia arctica,bg,Черногуш гмуркач
00030,Gavia arctica,cs,potáplice severní
00030,Gavia arctica,da,Sortstrubet Lom
00030,Gavia arctica,de,Prachttaucher
00030,Gavia arctica,el,Λαμπροβούτι
00030,Gavia arctica,en,Black-throated Loon
00030,Gavia arctica,es,Colimbo ártico
00030,Gavia arctica,et,järvekaur
00030,Gavia arctica,fi,kuikka
00030,Gavia arctica,fr,Plongeon arctique
00030,Gavia arctica,hr,crnogrli plijenor
00030,Gavia arctica,hu,sarki búvár
00030,Gavia arctica,is,Glitbrúsi
00030,Gavia arctica,it,Strolaga mezzana
00030,Gavia arctica,lt,juodakaklis naras
00030,Gavia arctica,lv,melnkakla gārgale
00030,Gavia arctica,mk,белец
00030,Gavia arctica,nl,Parelduiker
00030,Gavia arctica,no,storlom
00030,Gavia arctica,pl,nur czarnoszyi
00030,Gavia arctica,pt,mobelha-árctica
00030,Gavia arctica,ro,Cufundar polar
00030,Gavia arctica,ru,Чернозобая гагара
00030,Gavia arctica,sk,potáplica stredná
00030,Gavia arctica,sl,polarni slapnik
00030,Gavia arctica,sr,Crnogrli morski gnjurac
00030,Gavia arctica,sv,storlom
00030,Gavia arctica,tr,Kara Gerdanlı Dalgıç
00030,Gavia arctica,uk,гагара чорношия
00033,Gavia pacifica,cs,potáplice pacifická
00033,Gavia pacifica,da,Stillehavslom
00033,Gavia pacifica,de,Pazifiktaucher
00033,Gavia pacifica,en,Pacific Loon
00033,Gavia pacifica,es,Colimbo del Pacífico
00033,Gavia pacifica,et,kirdekaur
00033,Gavia pacifica,fi,tundrakuikka
00033,Gavia pacifica,fr,Plongeon du Pacifique
00033,Gavia pacifica,hr,pacifički plijenor
00033,Gavia pacifica,hu,alaszkai búvár
00033,Gavia pacifica,it,Strolaga del Pacifico
00033,Gavia pacifica,lt,baltakaklis naras
00033,Gavia pacifica,lv,Klusā okeāna gārgale
00033,Gavia pacifica,nl,Pacifische Parelduiker
00033,Gavia pacifica,no,amerikastorlom
00033,Gavia pacifica,pl,nur pacyficzny
00033,Gavia pacifica,pt,mobelha-do-pacífico
00033,Gavia pacifica,ru,Белошейная гагара
00033,Gavia pacifica,sk,potáplica bledotylová
00033,Gavia pacifica,sr,Pacifički morski gnjurac
00033,Gavia pacifica,sv,stillahavslom
